precision,recall,threshold
0.5,1.0,3.9006247e-09
0.5004633920296571,1.0,2.810428e-07
0.5009276437847866,1.0,2.9573496e-07
0.5013927576601671,1.0,2.5755032e-06
0.5018587360594795,1.0,3.0963731e-06
0.5023255813953489,1.0,4.2696374e-06
0.5027932960893855,1.0,5.4077186e-06
0.5032618825722274,1.0,6.256091e-06
0.503731343283582,1.0,1.6068474e-05
0.5042016806722689,1.0,2.3219476e-05
0.5046728971962616,1.0,2.9102117e-05
0.5051449953227315,1.0,3.930254e-05
0.5056179775280899,1.0,4.1931333e-05
0.5060918462980318,1.0,5.6173772e-05
0.5065666041275797,1.0,6.4889544e-05
0.5070422535211268,1.0,7.1329036e-05
0.5075187969924813,1.0,7.293567e-05
0.5079962370649106,1.0,8.14943e-05
0.5084745762711864,1.0,9.43869e-05
0.5089538171536286,1.0,9.87566e-05
0.5094339622641509,1.0,0.00011553796
0.509915014164306,1.0,0.00012503203
0.5103969754253308,1.0,0.00013344442
0.510879848628193,1.0,0.00016399364
0.5113636363636364,1.0,0.0001702077
0.5118483412322274,1.0,0.00018385345
0.5123339658444023,1.0,0.00025391154
0.5128205128205128,1.0,0.00025639802
0.5133079847908745,1.0,0.00025752033
0.5137963843958135,1.0,0.00026512032
0.5142857142857142,1.0,0.0002693903
0.5147759771210677,1.0,0.00035372126
0.5152671755725191,1.0,0.0003780828
0.5157593123209169,1.0,0.00040538557
0.5162523900573613,1.0,0.00045559526
0.5167464114832536,1.0,0.0004641754
0.5172413793103449,1.0,0.0004743379
0.5177372962607862,1.0,0.00067541306
0.5182341650671785,1.0,0.0007431291
0.5187319884726225,1.0,0.00074750464
0.5192307692307693,1.0,0.00076232397
0.519730510105871,1.0,0.00077674625
0.5202312138728323,1.0,0.0008287793
0.5207328833172613,1.0,0.00093816395
0.5212355212355212,1.0,0.0010243605
0.5217391304347826,1.0,0.0010275578
0.5222437137330754,1.0,0.0013243915
0.5227492739593417,1.0,0.0013482466
0.5232558139534884,1.0,0.0013938686
0.5237633365664404,1.0,0.001607834
0.5242718446601942,1.0,0.0016305598
0.5247813411078717,1.0,0.002288305
0.5252918287937743,1.0,0.0023921682
0.5258033106134372,1.0,0.002494501
0.5263157894736842,1.0,0.0027130598
0.526829268292683,1.0,0.0028388547
0.52734375,1.0,0.0029025646
0.5278592375366569,1.0,0.003043985
0.5283757338551859,1.0,0.0031898424
0.5288932419196866,1.0,0.003234186
0.5294117647058824,1.0,0.0035668076
0.5299313052011776,1.0,0.0035911927
0.5304518664047151,1.0,0.0037794886
0.5309734513274337,1.0,0.0038056604
0.531496062992126,1.0,0.0038768603
0.5320197044334976,1.0,0.0040606367
0.5325443786982249,1.0,0.0040669576
0.5330700888450148,1.0,0.0040935767
0.5335968379446641,1.0,0.0041029616
0.5341246290801187,1.0,0.0043172473
0.5346534653465347,1.0,0.0044765132
0.535183349851338,1.0,0.0045096255
0.5357142857142857,1.0,0.0045518856
0.5362462760675273,1.0,0.004635281
0.536779324055666,1.0,0.0046548364
0.5373134328358209,1.0,0.0048422613
0.5378486055776892,1.0,0.0048675537
0.5383848454636092,1.0,0.0049943496
0.5389221556886228,1.0,0.005236653
0.5394605394605395,1.0,0.0052715777
0.54,1.0,0.0055255587
0.5405405405405406,1.0,0.0058426885
0.5410821643286573,1.0,0.0058708545
0.5416248746238717,1.0,0.0061367457
0.5421686746987951,1.0,0.0062360917
0.542713567839196,1.0,0.0063005155
0.5432595573440644,1.0,0.006474823
0.5438066465256798,1.0,0.0065775397
0.5443548387096774,1.0,0.0069847107
0.544904137235116,1.0,0.007037393
0.5454545454545454,1.0,0.00722171
0.5460060667340748,1.0,0.0072808187
0.5465587044534413,1.0,0.007590836
0.547112462006079,1.0,0.008023462
0.5476673427991886,1.0,0.008287741
0.5482233502538071,1.0,0.008323588
0.5487804878048781,1.0,0.0084620025
0.5493387589013224,1.0,0.008514125
0.5498981670061099,1.0,0.008515658
0.5504587155963303,1.0,0.008897493
0.5510204081632653,1.0,0.008944183
0.5515832482124617,1.0,0.0090839
0.5521472392638037,1.0,0.009220629
0.5527123848515865,1.0,0.009521484
0.5532786885245902,1.0,0.009657794
0.5538461538461539,1.0,0.010055478
0.5544147843942505,1.0,0.010158787
0.5549845837615622,1.0,0.01019437
0.5555555555555556,1.0,0.010198672
0.5561277033985582,1.0,0.010501313
0.5567010309278351,1.0,0.010570559
0.5572755417956656,1.0,0.01072545
0.5578512396694215,1.0,0.010937643
0.5584281282316442,1.0,0.010968793
0.5590062111801242,1.0,0.012090096
0.5595854922279793,1.0,0.012184143
0.5601659751037344,1.0,0.012217567
0.5607476635514018,1.0,0.012248278
