precision,recall,threshold
0.5,1.0,0.00069530105
0.5004633920296571,1.0,0.0015866024
0.5009276437847866,1.0,0.0017053961
0.5013927576601671,1.0,0.0018644328
0.5018587360594795,1.0,0.0018730351
0.5023255813953489,1.0,0.004729961
0.5027932960893855,1.0,0.0052566268
0.5032618825722274,1.0,0.0074405614
0.503731343283582,1.0,0.007596967
0.5042016806722689,1.0,0.008278372
0.5046728971962616,1.0,0.008618881
0.5051449953227315,1.0,0.009469697
0.5056179775280899,1.0,0.011710126
0.5060918462980318,1.0,0.018201951
0.5065666041275797,1.0,0.01946309
0.5070422535211268,1.0,0.021444745
0.5075187969924813,1.0,0.023655077
0.5079962370649106,1.0,0.025039019
0.5084745762711864,1.0,0.027299425
0.5089538171536286,1.0,0.028410356
0.5094339622641509,1.0,0.029111618
0.509915014164306,1.0,0.03116758
0.5103969754253308,1.0,0.03122436
0.510879848628193,1.0,0.041170985
0.5113636363636364,1.0,0.041246075
0.5109004739336492,0.9981481481481481,0.047390066
0.5113851992409867,0.9981481481481481,0.059921164
0.5118708452041786,0.9981481481481481,0.06273904
0.5123574144486692,0.9981481481481481,0.067387596
0.5128449096098954,0.9981481481481481,0.06893491
0.5133333333333333,0.9981481481481481,0.073259346
0.5138226882745471,0.9981481481481481,0.07593758
0.5143129770992366,0.9981481481481481,0.07866274
0.5148042024832856,0.9981481481481481,0.08354742
0.5152963671128107,0.9981481481481481,0.0846628
0.5157894736842106,0.9981481481481481,0.0846862
0.5162835249042146,0.9981481481481481,0.087383844
0.5167785234899329,0.9981481481481481,0.09890112
0.517274472168906,0.9981481481481481,0.10152667
0.5177713736791547,0.9981481481481481,0.102164
0.5182692307692308,0.9981481481481481,0.10294422
0.5187680461982676,0.9981481481481481,0.10987527
0.5192678227360308,0.9981481481481481,0.11391766
0.5197685631629702,0.9981481481481481,0.114575386
0.5202702702702703,0.9981481481481481,0.1146922
0.5207729468599034,0.9981481481481481,0.115891814
0.5212765957446809,0.9981481481481481,0.12125591
0.5217812197483059,0.9981481481481481,0.12216743
0.5222868217054264,0.9981481481481481,0.12633836
0.5227934044616876,0.9981481481481481,0.12765463
0.5233009708737864,0.9981481481481481,0.12966898
0.5238095238095238,0.9981481481481481,0.13442414
0.52431906614786,0.9981481481481481,0.13520622
0.5248296007789679,0.9981481481481481,0.13546988
0.5253411306042886,0.9981481481481481,0.13818274
0.5258536585365854,0.9981481481481481,0.14129439
0.5263671875,0.9981481481481481,0.14674686
0.5268817204301075,0.9981481481481481,0.14762555
0.5273972602739726,0.9981481481481481,0.15279865
0.5279138099902057,0.9981481481481481,0.15945369
0.5284313725490196,0.9981481481481481,0.16406152
0.5289499509322866,0.9981481481481481,0.16540545
0.5294695481335953,0.9981481481481481,0.16997156
0.5299901671583087,0.9981481481481481,0.17841323
0.530511811023622,0.9981481481481481,0.18012677
0.5310344827586206,0.9981481481481481,0.1812612
0.5315581854043393,0.9981481481481481,0.18680234
0.5320829220138203,0.9981481481481481,0.18896632
0.532608695652174,0.9981481481481481,0.19229779
0.533135509396637,0.9981481481481481,0.19423059
0.5336633663366337,0.9981481481481481,0.19828196
0.5341922695738355,0.9981481481481481,0.20152065
0.5347222222222222,0.9981481481481481,0.20285937
0.535253227408143,0.9981481481481481,0.20463322
0.5357852882703777,0.9981481481481481,0.20675673
0.536318407960199,0.9981481481481481,0.20781705
0.5368525896414342,0.9981481481481481,0.21350518
0.5373878364905285,0.9981481481481481,0.21671446
0.5379241516966068,0.9981481481481481,0.21780527
0.5384615384615384,0.9981481481481481,0.22124386
0.539,0.9981481481481481,0.22316992
0.5395395395395396,0.9981481481481481,0.22329663
0.5400801603206413,0.9981481481481481,0.22374968
0.5406218655967904,0.9981481481481481,0.22700441
0.5411646586345381,0.9981481481481481,0.22710782
0.5417085427135678,0.9981481481481481,0.2320039
0.5422535211267606,0.9981481481481481,0.23364574
0.5427995971802618,0.9981481481481481,0.23436047
0.5433467741935484,0.9981481481481481,0.2353948
0.5438950554994955,0.9981481481481481,0.23667604
0.5444444444444444,0.9981481481481481,0.23981372
0.544994944388271,0.9981481481481481,0.24103847
0.5455465587044535,0.9981481481481481,0.24151531
0.5460992907801419,0.9981481481481481,0.2501345
0.5466531440162272,0.9981481481481481,0.25049382
0.5472081218274112,0.9981481481481481,0.25482193
0.5477642276422764,0.9981481481481481,0.2551093
0.5483214649033571,0.9981481481481481,0.2551745
0.5488798370672098,0.9981481481481481,0.25647622
0.5494393476044852,0.9981481481481481,0.2589704
0.55,0.9981481481481481,0.26005754
0.550561797752809,0.9981481481481481,0.26063928
0.5511247443762781,0.9981481481481481,0.26086938
0.5516888433981576,0.9981481481481481,0.2610615
0.5522540983606558,0.9981481481481481,0.2615446
0.5528205128205128,0.9981481481481481,0.26387826
0.553388090349076,0.9981481481481481,0.26389444
0.5539568345323741,0.9981481481481481,0.26489258
