fpr,tpr,threshold
0.0,0.0,inf
0.0,0.001851851851851852,0.9871023893356323
0.0,0.037037037037037035,0.8352240324020386
0.001851851851851852,0.037037037037037035,0.8311787843704224
0.001851851851851852,0.06481481481481481,0.7911604642868042
0.003703703703703704,0.06481481481481481,0.7905441522598267
0.003703703703703704,0.07777777777777778,0.7725355625152588
0.005555555555555556,0.07777777777777778,0.7718062996864319
0.005555555555555556,0.08518518518518518,0.7566012144088745
0.007407407407407408,0.08518518518518518,0.7503284811973572
0.007407407407407408,0.10740740740740741,0.7335900664329529
0.009259259259259259,0.10740740740740741,0.7314520478248596
0.009259259259259259,0.1259259259259259,0.720127284526825
0.011111111111111112,0.1259259259259259,0.7186371088027954
0.011111111111111112,0.13703703703703704,0.7129004001617432
0.012962962962962963,0.13703703703703704,0.7125000357627869
0.012962962962962963,0.16296296296296298,0.7018856406211853
0.014814814814814815,0.16296296296296298,0.7014799118041992
0.014814814814814815,0.17222222222222222,0.6946779489517212
0.016666666666666666,0.17222222222222222,0.6906316876411438
0.016666666666666666,0.20925925925925926,0.672857403755188
0.018518518518518517,0.20925925925925926,0.6718170046806335
0.018518518518518517,0.23333333333333334,0.6612071394920349
0.020370370370370372,0.23333333333333334,0.6607027053833008
0.020370370370370372,0.24259259259259258,0.6570529341697693
0.022222222222222223,0.24259259259259258,0.6567727327346802
0.022222222222222223,0.26296296296296295,0.6464954018592834
0.025925925925925925,0.26296296296296295,0.645450234413147
0.025925925925925925,0.27037037037037037,0.6415125131607056
0.027777777777777776,0.27037037037037037,0.6407078504562378
0.027777777777777776,0.32592592592592595,0.6228582859039307
0.02962962962962963,0.32592592592592595,0.6228548884391785
0.02962962962962963,0.35555555555555557,0.6181527376174927
0.03148148148148148,0.35555555555555557,0.6179970502853394
0.03148148148148148,0.3574074074074074,0.6179121136665344
0.03333333333333333,0.3574074074074074,0.6176674962043762
0.03333333333333333,0.387037037037037,0.61083984375
0.03518518518518519,0.387037037037037,0.6107348203659058
0.03518518518518519,0.4111111111111111,0.6066999435424805
0.037037037037037035,0.4111111111111111,0.6065752506256104
0.037037037037037035,0.4388888888888889,0.6015625
0.03888888888888889,0.4388888888888889,0.6014636158943176
0.03888888888888889,0.45185185185185184,0.5992536544799805
0.040740740740740744,0.45185185185185184,0.599048376083374
0.040740740740740744,0.46111111111111114,0.5982974767684937
0.04259259259259259,0.46111111111111114,0.5980516076087952
0.04259259259259259,0.49074074074074076,0.5905246138572693
0.044444444444444446,0.49074074074074076,0.5904328227043152
0.044444444444444446,0.5074074074074074,0.5861478447914124
0.046296296296296294,0.5074074074074074,0.5854727029800415
0.046296296296296294,0.5166666666666667,0.5828909277915955
0.04814814814814815,0.5166666666666667,0.5828531980514526
0.04814814814814815,0.5407407407407407,0.57763671875
0.05,0.5407407407407407,0.576659619808197
0.05,0.5481481481481482,0.5763222575187683
0.05185185185185185,0.5481481481481482,0.5755946040153503
0.05185185185185185,0.5685185185185185,0.5713420510292053
0.053703703703703705,0.5685185185185185,0.5712171196937561
0.053703703703703705,0.5962962962962963,0.5665597319602966
0.05740740740740741,0.5962962962962963,0.5664293766021729
0.05740740740740741,0.6055555555555555,0.5645438432693481
0.05925925925925926,0.6055555555555555,0.5641224384307861
0.05925925925925926,0.6314814814814815,0.5605140924453735
0.06111111111111111,0.6314814814814815,0.5585973858833313
0.06111111111111111,0.6666666666666666,0.5522356033325195
0.06296296296296296,0.6666666666666666,0.5521429181098938
0.06296296296296296,0.7,0.5423586368560791
0.06481481481481481,0.7,0.5417242646217346
0.06481481481481481,0.7018518518518518,0.541715145111084
0.06851851851851852,0.7018518518518518,0.5413374304771423
0.06851851851851852,0.7444444444444445,0.5340282320976257
0.07037037037037037,0.7444444444444445,0.5336150527000427
0.07037037037037037,0.7555555555555555,0.531469464302063
0.07222222222222222,0.7555555555555555,0.5312375426292419
0.07222222222222222,0.7666666666666667,0.5298391580581665
0.07407407407407407,0.7666666666666667,0.5298245549201965
0.07407407407407407,0.774074074074074,0.529107391834259
0.07592592592592592,0.774074074074074,0.5280304551124573
0.07592592592592592,0.7759259259259259,0.5275937914848328
0.07777777777777778,0.7759259259259259,0.5273184776306152
0.07777777777777778,0.7777777777777778,0.5271462798118591
0.07962962962962963,0.7777777777777778,0.5271438360214233
0.07962962962962963,0.7796296296296297,0.5269535779953003
0.08148148148148149,0.7796296296296297,0.5266179442405701
0.08148148148148149,0.7907407407407407,0.5250191688537598
0.08333333333333333,0.7907407407407407,0.5244140625
0.08333333333333333,0.8185185185185185,0.5214052200317383
0.08518518518518518,0.8185185185185185,0.5212647914886475
0.08518518518518518,0.8203703703703704,0.5210232734680176
0.08703703703703704,0.8203703703703704,0.520934522151947
0.08703703703703704,0.8240740740740741,0.5204764008522034
0.09074074074074075,0.8240740740740741,0.5192060470581055
0.09074074074074075,0.825925925925926,0.519034743309021
0.09259259259259259,0.825925925925926,0.5187950134277344
0.09259259259259259,0.8333333333333334,0.5170888900756836
0.09444444444444444,0.8333333333333334,0.5169962048530579
0.09444444444444444,0.8407407407407408,0.5159696340560913
0.09814814814814815,0.8407407407407408,0.515910804271698
0.09814814814814815,0.85,0.5133010149002075
0.1037037037037037,0.85,0.5127050280570984
0.1037037037037037,0.8537037037037037,0.5126953125
0.1037037037037037,0.8574074074074074,0.5121228098869324
0.10555555555555556,0.8574074074074074,0.5121057033538818
0.10555555555555556,0.8648148148148148,0.5117478966712952
0.10740740740740741,0.8648148148148148,0.5111278891563416
0.10740740740740741,0.8833333333333333,0.5056330561637878
0.10925925925925926,0.8833333333333333,0.5055952668190002
0.10925925925925926,0.8870370370370371,0.504010796546936
0.11481481481481481,0.8870370370370371,0.5031017065048218
0.11481481481481481,0.8907407407407407,0.5029443502426147
0.11666666666666667,0.8907407407407407,0.5022366046905518
0.11666666666666667,0.8981481481481481,0.5002170205116272
0.12222222222222222,0.8981481481481481,0.49920928478240967
0.12222222222222222,0.9,0.499179869890213
0.12962962962962962,0.9,0.4987347424030304
0.12962962962962962,0.9018518518518519,0.49859827756881714
0.14074074074074075,0.9018518518518519,0.4966218173503876
0.14074074074074075,0.9055555555555556,0.49525707960128784
0.14629629629629629,0.9055555555555556,0.49495598673820496
0.14629629629629629,0.9074074074074074,0.4948854148387909
0.15,0.9074074074074074,0.49451225996017456
0.15,0.9092592592592592,0.4944859445095062
0.16296296296296298,0.9092592592592592,0.4908653795719147
0.16296296296296298,0.9111111111111111,0.4904056191444397
0.1648148148148148,0.9111111111111111,0.4899555742740631
0.1648148148148148,0.912962962962963,0.48988404870033264
0.17407407407407408,0.912962962962963,0.48876953125
0.17407407407407408,0.9148148148148149,0.48865020275115967
0.17962962962962964,0.9148148148148149,0.4868691861629486
0.17962962962962964,0.9166666666666666,0.48681640625
0.19444444444444445,0.9166666666666666,0.48370182514190674
0.19444444444444445,0.9203703703703704,0.48265212774276733
0.2,0.9203703703703704,0.48174068331718445
0.2,0.9222222222222223,0.48163607716560364
0.20185185185185187,0.9222222222222223,0.4814453125
0.20185185185185187,0.924074074074074,0.4804533123970032
0.2074074074074074,0.924074074074074,0.4801187515258789
0.2074074074074074,0.9259259259259259,0.47995275259017944
0.20925925925925926,0.9259259259259259,0.47979676723480225
0.20925925925925926,0.9314814814814815,0.4796426594257355
0.21851851851851853,0.9314814814814815,0.47734904289245605
0.21851851851851853,0.9333333333333333,0.476806640625
0.2537037037037037,0.9333333333333333,0.46967965364456177
0.2537037037037037,0.9351851851851852,0.4689740836620331
0.2574074074074074,0.9351851851851852,0.4683833420276642
0.2574074074074074,0.937037037037037,0.46800747513771057
0.25925925925925924,0.937037037037037,0.4678589105606079
0.25925925925925924,0.9388888888888889,0.46765920519828796
0.26296296296296295,0.9388888888888889,0.4673798382282257
0.26296296296296295,0.9425925925925925,0.4660837948322296
0.26481481481481484,0.9425925925925925,0.4659571051597595
0.26481481481481484,0.9444444444444444,0.4658043384552002
0.2740740740740741,0.9444444444444444,0.46488529443740845
0.2740740740740741,0.9462962962962963,0.4646182954311371
0.2851851851851852,0.9462962962962963,0.4619140625
0.2851851851851852,0.95,0.4612126648426056
0.28703703703703703,0.95,0.46096065640449524
0.28703703703703703,0.9518518518518518,0.46084171533584595
0.29074074074074074,0.9518518518518518,0.46028608083724976
0.29074074074074074,0.9574074074074074,0.45806488394737244
0.29814814814814816,0.9574074074074074,0.45679542422294617
0.29814814814814816,0.9592592592592593,0.456298828125
0.3148148148148148,0.9592592592592593,0.4533229470252991
0.3148148148148148,0.9611111111111111,0.453217089176178
0.31851851851851853,0.9611111111111111,0.45263856649398804
0.31851851851851853,0.9629629629629629,0.4513382613658905
0.337037037037037,0.9629629629629629,0.44471418857574463
0.337037037037037,0.9648148148148148,0.4420871436595917
0.3611111111111111,0.9648148148148148,0.43592503666877747
0.3611111111111111,0.9666666666666667,0.43578240275382996
0.362962962962963,0.9666666666666667,0.43575790524482727
0.362962962962963,0.9685185185185186,0.4357234239578247
0.37777777777777777,0.9685185185185186,0.4299152195453644
0.37777777777777777,0.9703703703703703,0.4298107922077179
0.412962962962963,0.9703703703703703,0.42070916295051575
0.412962962962963,0.9722222222222222,0.42030301690101624
0.4185185185185185,0.9722222222222222,0.41941896080970764
0.4185185185185185,0.9740740740740741,0.41911277174949646
0.43148148148148147,0.9740740740740741,0.41373831033706665
0.43148148148148147,0.975925925925926,0.4128880500793457
0.43703703703703706,0.975925925925926,0.41005438566207886
0.43703703703703706,0.9777777777777777,0.409755140542984
0.4462962962962963,0.9777777777777777,0.4062518775463104
0.4462962962962963,0.9814814814814815,0.4060497581958771
0.45555555555555555,0.9814814814814815,0.4047826826572418
0.45555555555555555,0.9833333333333333,0.40412113070487976
0.512962962962963,0.9833333333333333,0.3931860029697418
0.512962962962963,0.9851851851851852,0.3926548361778259
0.5166666666666667,0.9851851851851852,0.392333984375
0.524074074074074,0.9851851851851852,0.3907412588596344
0.524074074074074,0.987037037037037,0.3907124698162079
0.5277777777777778,0.987037037037037,0.3900730609893799
0.5277777777777778,0.9888888888888889,0.3896400034427643
0.6166666666666667,0.9888888888888889,0.3670588433742523
0.6166666666666667,0.9907407407407407,0.36653152108192444
0.6314814814814815,0.9907407407407407,0.36253437399864197
0.6314814814814815,0.9925925925925926,0.36201438307762146
0.6592592592592592,0.9925925925925926,0.34865254163742065
0.6592592592592592,0.9944444444444445,0.34762004017829895
0.7055555555555556,0.9944444444444445,0.3272194266319275
0.7055555555555556,0.9962962962962963,0.326394259929657
0.7555555555555555,0.9962962962962963,0.2945989966392517
0.7555555555555555,0.9981481481481481,0.2941987216472626
0.9555555555555556,0.9981481481481481,0.04739006608724594
0.9555555555555556,1.0,0.04124607518315315
1.0,1.0,0.0006953010451979935
